"","Species","Country.of.Origin","quality_measure","score"
"185","Arabica","Laos","Sweetness",10
"186","Arabica","Laos","Cupper.Points",7.47
"187","Arabica","Laos","Total.Cup.Points",81.8333333333333
"188","Arabica","Malawi","Aroma",7.56727272727273
"189","Arabica","Malawi","Flavor",7.38727272727273
"190","Arabica","Malawi","Aftertaste",7.25727272727273
"191","Arabica","Malawi","Acidity",7.40818181818182
"192","Arabica","Malawi","Body",7.33818181818182
"193","Arabica","Malawi","Balance",7.37181818181818
"194","Arabica","Malawi","Uniformity",10
"195","Arabica","Malawi","Clean.Cup",10
"196","Arabica","Malawi","Sweetness",10
"197","Arabica","Malawi","Cupper.Points",7.37909090909091
"198","Arabica","Malawi","Total.Cup.Points",81.7118181818182
"199","Arabica","Mauritius","Aroma",7.25
"200","Arabica","Mauritius","Flavor",7.25
"201","Arabica","Mauritius","Aftertaste",7.17
"202","Arabica","Mauritius","Acidity",7.17
"203","Arabica","Mauritius","Body",7.25
"204","Arabica","Mauritius","Balance",7.17
"205","Arabica","Mauritius","Uniformity",10
"206","Arabica","Mauritius","Clean.Cup",10
"207","Arabica","Mauritius","Sweetness",10
"208","Arabica","Mauritius","Cupper.Points",7.25
"209","Arabica","Mauritius","Total.Cup.Points",80.5
"210","Arabica","Mexico","Aroma",7.45758474576271
"211","Arabica","Mexico","Flavor",7.37902542372881
"212","Arabica","Mexico","Aftertaste",7.22805084745763
"213","Arabica","Mexico","Acidity",7.42834745762712
"214","Arabica","Mexico","Body",7.38046610169491
"215","Arabica","Mexico","Balance",7.32868644067797
"216","Arabica","Mexico","Uniformity",9.74406779661017
"217","Arabica","Mexico","Clean.Cup",9.65813559322034
"218","Arabica","Mexico","Sweetness",9.97177966101695
"219","Arabica","Mexico","Cupper.Points",7.31470338983051
"220","Arabica","Mexico","Total.Cup.Points",80.8900847457627
"221","Arabica","Myanmar","Aroma",7.30375
"222","Arabica","Myanmar","Flavor",7.3325
"223","Arabica","Myanmar","Aftertaste",7.125
"224","Arabica","Myanmar","Acidity",7.40625
"225","Arabica","Myanmar","Body",7.27
"226","Arabica","Myanmar","Balance",7.13375
"227","Arabica","Myanmar","Uniformity",10
"228","Arabica","Myanmar","Clean.Cup",10
"229","Arabica","Myanmar","Sweetness",10
"230","Arabica","Myanmar","Cupper.Points",7.1775
"231","Arabica","Myanmar","Total.Cup.Points",80.75
"232","Arabica","Nicaragua","Aroma",7.32923076923077
"233","Arabica","Nicaragua","Flavor",7.31692307692308
"234","Arabica","Nicaragua","Aftertaste",7.20192307692308
"235","Arabica","Nicaragua","Acidity",7.26653846153846
"236","Arabica","Nicaragua","Body",7.40076923076923
"237","Arabica","Nicaragua","Balance",7.27846153846154
